date,close,open,high,low,volume,pct_change,daily_return,cumulative_return,drawdown,ma20,ma50,ma200
2018-03-16,509.0,510.0,510.0,508.5,19910.0,-0.002,-0.0019607843137254,0.0582120582120582,-0.0097276264591439,508.835,503.372,
2018-03-19,509.0,509.5,509.5,509.0,47450.0,0.0,0.0,0.0582120582120582,-0.0097276264591439,509.18500000000006,503.595,
2018-03-20,507.9,509.0,509.0,507.9,24450.0,-0.0022,-0.0021611001964636,0.0559251559251559,-0.0118677042801556,509.58,503.913,
2018-03-21,500.0,505.0,507.0,500.0,78810.0,-0.0156,-0.0155542429612127,0.0395010395010395,-0.027237354085603,509.395,503.992,
2018-03-22,500.0,499.95,500.0,499.95,9140.0,0.0,0.0,0.0395010395010395,-0.027237354085603,508.995,503.992,
2018-03-23,500.0,500.0,504.0,500.0,26680.0,0.0,0.0,0.0395010395010395,-0.027237354085603,508.295,503.99,
2018-03-26,500.0,500.0,500.0,500.0,22820.0,0.0,0.0,0.0395010395010395,-0.027237354085603,508.08,503.83,
2018-03-27,500.0,508.8,508.8,500.0,359030.0,0.0,0.0,0.0395010395010395,-0.027237354085603,507.69,503.83,
2018-03-28,499.0,500.0,500.0,499.0,16000.0,-0.002,-0.002,0.0374220374220375,-0.0291828793774318,507.25,503.81,
2018-03-29,491.0,499.1,500.0,491.0,13910.0,-0.016,-0.0160320641282565,0.0207900207900209,-0.0447470817120621,506.31000000000006,503.63,
2018-03-30,500.0,499.95,500.0,491.7,38940.0,0.0183,0.0183299389002036,0.0395010395010395,-0.027237354085603,505.84,503.63,
2018-04-02,493.5,499.95,500.0,493.5,51900.0,-0.013,-0.013,0.0259875259875259,-0.0398832684824902,504.915,503.4,
2018-04-03,494.15,493.5,496.5,493.5,35110.0,0.0013,0.0013171225937183,0.0273388773388771,-0.0386186770428016,504.0525,503.283,
2018-04-04,494.0,491.5,496.0,491.5,134460.0,-0.0003,-0.000303551553172,0.0270270270270269,-0.0389105058365758,503.2525,503.143,
2018-04-05,494.0,493.0,494.0,492.3,68410.0,0.0,0.0,0.0270270270270269,-0.0389105058365758,502.3575,502.8370000000001,
2018-04-06,493.0,492.25,493.0,492.25,78350.0,-0.002,-0.0020242914979756,0.0249480249480249,-0.0408560311284046,501.4075,502.539,
2018-04-09,492.0,492.0,492.1,492.0,11190.0,-0.002,-0.0020283975659228,0.0228690228690229,-0.0428015564202333,500.3275,502.307,
2018-04-10,492.05,493.0,493.0,490.0,10970.0,0.0001,0.0001016260162602,0.022972972972973,-0.0427042801556418,499.43,501.994,
2018-04-11,492.2,492.05,492.2,492.05,20250.0,0.0003,0.0003048470683872,0.0232848232848232,-0.0424124513618676,498.54,501.838,
2018-04-12,493.0,492.15,493.95,492.15,8500.0,0.0016,0.0016253555465257,0.0249480249480249,-0.0408560311284046,497.69,501.69,
2018-04-13,498.0,492.3,498.0,492.3,26190.0,0.0101,0.0101419878296145,0.0353430353430352,-0.0311284046692607,497.14,501.6,
2018-04-16,494.0,494.0,498.0,494.0,56190.0,-0.008,-0.0080321285140562,0.0270270270270269,-0.0389105058365758,496.39,501.48,
2018-04-17,494.7,494.0,496.5,494.0,4270.0,0.0014,0.001417004048583,0.0284823284823285,-0.0375486381322955,495.73,501.41399999999993,
2018-04-18,496.0,494.5,498.0,494.5,3510.0,0.0026,0.0026278552658176,0.0311850311850312,-0.0350194552529181,495.53,501.574,
2018-04-19,500.0,497.0,500.0,496.05,5080.0,0.0081,0.0080645161290322,0.0395010395010395,-0.027237354085603,495.53,501.6739999999999,
2018-04-20,504.6,496.1,505.0,496.1,13400.0,0.0092,0.0092,0.0490644490644491,-0.0182879377431904,495.7600000000001,501.916,
2018-04-23,504.9,498.05,505.0,498.05,7370.0,0.0006,0.0005945303210463,0.0496881496881498,-0.0177042801556418,496.005,502.214,
2018-04-24,500.0,504.9,504.9,500.0,7920.0,-0.0097,-0.0097048920578332,0.0395010395010397,-0.0272373540856027,496.005,502.136,
2018-04-25,500.1,497.0,504.9,497.0,8039.999999999999,0.0002,0.0001999999999999,0.03970893970894,-0.0270428015564198,496.06000000000006,502.23800000000006,
2018-04-26,500.0,500.1,500.1,500.0,8760.0,-0.0002,-0.0001999600079984,0.0395010395010397,-0.0272373540856027,496.5100000000001,502.296,
2018-04-27,505.0,500.0,505.0,500.0,11540.0,0.01,0.01,0.0498960498960501,-0.0175097276264588,496.7600000000001,502.376,
2018-04-30,509.9,505.0,509.9,500.0,41320.0,0.0097,0.0097029702970297,0.0600831600831603,-0.0079766536964976,497.58,502.53399999999993,
2018-05-02,500.6,505.0,505.0,500.6,6980.0,-0.0182,-0.0182388703667384,0.0407484407484413,-0.0260700389105053,497.9025,502.546,
2018-05-03,500.6,509.0,509.0,500.0,5230.0,0.0,0.0,0.0407484407484413,-0.0260700389105053,498.2325,502.484,
2018-05-04,504.9,504.9,504.9,504.9,1000.0,0.0086,0.0085896923691568,0.04968814968815,-0.0177042801556416,498.7775,502.422,
2018-05-07,500.0,497.1,507.7,497.1,10420.0,-0.0097,-0.0097048920578332,0.03950103950104,-0.0272373540856025,499.12750000000005,502.14200000000005,
2018-05-08,497.15,498.0,500.0,497.15,5580.0,-0.0056999999999999,-0.0057,0.0335758835758839,-0.0327821011673148,499.3850000000001,501.999,
2018-05-09,498.0,497.0,500.0,497.0,7920.0,0.0017,0.0017097455496328,0.0353430353430357,-0.0311284046692602,499.6825,501.803,
2018-05-10,496.1,497.1,498.0,496.1,3380.0,-0.0038,-0.0038152610441766,0.0313929313929319,-0.0348249027237348,499.87750000000005,501.569,
2018-05-11,493.65,496.0,496.0,493.65,25560.0,-0.0049,-0.0049385204595848,0.0262993762993768,-0.0395914396887153,499.91,501.246,
2018-05-14,491.0,494.0,494.0,491.0,3550.0,-0.0054,-0.00536817583308,0.0207900207900213,-0.0447470817120616,499.56000000000006,500.87799999999993,
2018-05-15,489.0,491.0,491.0,489.0,12690.0,-0.0040999999999999,-0.0040733197556007,0.0166320166320173,-0.0486381322957192,499.31000000000006,500.418,
2018-05-16,486.0,488.05,488.05,485.0,40020.0,-0.0060999999999999,-0.0061349693251533,0.010395010395011,-0.0544747081712055,498.875,499.91,
2018-05-17,483.0,482.6,486.0,482.0,31000.0,-0.0062,-0.0061728395061728,0.0041580041580047,-0.060311284046692,498.225,499.37,
2018-05-18,480.0,485.0,485.0,480.0,41120.0,-0.0062,-0.0062111801242236,-0.0020790020790015,-0.0661478599221784,497.225,498.732,
2018-05-21,478.05,481.0,481.0,478.05,56280.0,-0.0040999999999999,-0.0040624999999999,-0.0061330561330555,-0.0699416342412445,495.8974999999999,498.05300000000005,
