"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"02.07.2025","682,00","678,00","684,00","675,00","4,18K","0,00%"
"01.07.2025","682,00","685,00","685,00","678,00","5,88K","0,29%"
"30.06.2025","680,00","680,00","690,00","680,00","78,07K","-1,88%"
"26.06.2025","693,00","685,00","693,00","681,10","350,29K","1,14%"
"25.06.2025","685,20","675,00","686,00","675,00","28,59K","0,76%"
"24.06.2025","680,00","670,00","681,00","670,00","57,45K","3,03%"
"23.06.2025","660,00","660,00","670,00","659,90","44,79K","-0,75%"
"20.06.2025","665,00","661,00","680,00","661,00","83,72K","1,06%"
"19.06.2025","658,00","663,00","665,00","656,10","106,60K","-0,75%"
"18.06.2025","663,00","670,00","670,60","663,00","38,58K","-1,27%"
"17.06.2025","671,50","675,30","676,00","671,10","58,65K","-0,68%"
"16.06.2025","676,10","677,00","680,00","671,00","12,40K","-1,44%"
"13.06.2025","686,00","671,00","686,00","671,00","52,99K","0,26%"
"12.06.2025","684,20","680,00","685,00","680,00","67,18K","0,25%"
"11.06.2025","682,50","687,00","689,00","680,00","43,83K","0,37%"
"10.06.2025","680,00","673,00","693,00","672,20","28,06K","1,25%"
"06.06.2025","671,60","685,00","689,00","671,60","45,27K","-1,74%"
"05.06.2025","683,50","683,00","695,00","683,00","9,62K","0,22%"
"04.06.2025","682,00","675,00","690,00","675,00","80,13K","1,04%"
"03.06.2025","675,00","672,00","676,00","670,00","87,26K","0,75%"
"02.06.2025","670,00","670,00","672,00","662,10","2,61K","0,90%"
"30.05.2025","664,00","663,00","670,00","662,00","265,79K","0,18%"
"29.05.2025","662,80","673,00","673,00","662,80","32,42K","-1,52%"
"28.05.2025","673,00","670,60","680,00","670,60","10,64K","-0,88%"
"27.05.2025","679,00","685,00","685,00","670,00","3,56K","-1,68%"
"26.05.2025","690,60","695,00","698,00","690,60","13,03K","-0,62%"
"23.05.2025","694,90","699,00","699,00","694,10","63,62K","0,27%"
"22.05.2025","693,00","685,00","701,00","685,00","31,97K","1,17%"
"21.05.2025","685,00","680,00","688,00","673,10","25,45K","0,74%"
"20.05.2025","680,00","667,10","680,00","667,10","40,59K","1,19%"
"19.05.2025","672,00","667,20","674,00","667,20","24,50K","0,73%"
"16.05.2025","667,10","673,00","676,00","667,10","109,24K","-1,17%"
"15.05.2025","675,00","676,50","677,00","675,00","55,98K","-0,15%"
"14.05.2025","676,00","670,60","676,90","670,60","110,82K","0,16%"
"13.05.2025","674,90","670,40","676,90","670,40","28,67K","-0,01%"
"12.05.2025","675,00","665,10","675,00","665,10","151,87K","1,35%"
"09.05.2025","666,00","665,50","670,00","665,50","21,64K","-0,60%"
"08.05.2025","670,00","663,00","671,00","663,00","74,78K","0,74%"
"07.05.2025","665,10","660,30","666,00","660,30","50,57K","0,32%"
"06.05.2025","663,00","663,00","665,00","660,30","20,81K","0,00%"
"05.05.2025","663,00","660,30","665,00","660,30","3,89K","0,00%"
"02.05.2025","663,00","660,00","663,00","659,10","24,77K","0,45%"
"30.04.2025","660,00","664,00","664,00","659,00","110,04K","0,15%"
"29.04.2025","659,00","661,10","665,00","659,00","12,57K","-0,90%"
"28.04.2025","665,00","661,00","666,00","661,00","18,51K","0,30%"
"25.04.2025","663,00","662,90","665,00","660,00","43,55K","0,02%"
"24.04.2025","662,90","660,00","667,00","660,00","25,48K","0,44%"
"23.04.2025","660,00","665,00","670,00","660,00","28,37K","-0,75%"
